"COLLECTION_WEEK","ZCTA","IP_COV_DEMAND"
"2021-10-31","75001",15
"2021-10-31","75002",10
"2021-10-31","75006",13
"2021-10-31","75007",11
"2021-10-31","75009",15
"2021-10-31","75010",16
"2021-10-31","75013",12
"2021-10-31","75019",11
"2021-10-31","75020",28
"2021-10-31","75021",31
"2021-10-31","75022",8
"2021-10-31","75023",14
"2021-10-31","75024",15
"2021-10-31","75025",12
"2021-10-31","75028",9
"2021-10-31","75032",9
"2021-10-31","75034",13
"2021-10-31","75035",10
"2021-10-31","75038",9
"2021-10-31","75039",21
"2021-10-31","75040",11
"2021-10-31","75041",19
"2021-10-31","75042",14
"2021-10-31","75043",19
"2021-10-31","75044",5
"2021-10-31","75048",6
"2021-10-31","75050",16
"2021-10-31","75051",23
"2021-10-31","75052",27
"2021-10-31","75054",26
"2021-10-31","75056",12
"2021-10-31","75057",11
"2021-10-31","75058",18
"2021-10-31","75060",6
"2021-10-31","75061",5
"2021-10-31","75062",5
"2021-10-31","75063",13
"2021-10-31","75065",14
"2021-10-31","75067",11
"2021-10-31","75068",10
"2021-10-31","75069",18
"2021-10-31","75070",17
"2021-10-31","75071",17
"2021-10-31","75074",13
"2021-10-31","75075",18
"2021-10-31","75076",12
"2021-10-31","75077",10
"2021-10-31","75078",15
"2021-10-31","75080",14
"2021-10-31","75081",11
"2021-10-31","75082",3
"2021-10-31","75087",13
"2021-10-31","75088",13
"2021-10-31","75089",13
"2021-10-31","75090",27
"2021-10-31","75092",26
"2021-10-31","75093",13
"2021-10-31","75094",4
"2021-10-31","75098",9
"2021-10-31","75102",0
"2021-10-31","75103",31
"2021-10-31","75104",20
"2021-10-31","75105",0
"2021-10-31","75109",13
"2021-10-31","75110",10
"2021-10-31","75114",22
"2021-10-31","75115",19
"2021-10-31","75116",21
"2021-10-31","75117",44
"2021-10-31","75119",15
"2021-10-31","75124",13
"2021-10-31","75125",19
"2021-10-31","75126",14
"2021-10-31","75127",5
"2021-10-31","75134",21
"2021-10-31","75135",8
"2021-10-31","75137",17
"2021-10-31","75140",33
"2021-10-31","75141",24
"2021-10-31","75142",12
"2021-10-31","75143",13
"2021-10-31","75144",6
"2021-10-31","75146",17
"2021-10-31","75147",8
"2021-10-31","75148",19
"2021-10-31","75149",20
"2021-10-31","75150",23
"2021-10-31","75152",10
"2021-10-31","75154",16
"2021-10-31","75155",9
"2021-10-31","75156",12
"2021-10-31","75157",0
"2021-10-31","75158",10
"2021-10-31","75159",20
"2021-10-31","75160",15
"2021-10-31","75161",12
"2021-10-31","75163",16
"2021-10-31","75165",13
"2021-10-31","75166",10
"2021-10-31","75167",16
"2021-10-31","75169",26
"2021-10-31","75172",44
"2021-10-31","75173",9
"2021-10-31","75180",26
"2021-10-31","75181",19
"2021-10-31","75182",7
"2021-10-31","75189",12
"2021-10-31","75201",23
"2021-10-31","75202",34
"2021-10-31","75203",23
"2021-10-31","75204",37
"2021-10-31","75205",27
"2021-10-31","75206",39
"2021-10-31","75207",22
"2021-10-31","75208",23
"2021-10-31","75209",28
"2021-10-31","75210",50
"2021-10-31","75211",21
"2021-10-31","75212",22
"2021-10-31","75214",34
"2021-10-31","75215",42
"2021-10-31","75216",31
"2021-10-31","75217",31
"2021-10-31","75218",25
"2021-10-31","75219",26
"2021-10-31","75220",22
"2021-10-31","75223",46
"2021-10-31","75224",24
"2021-10-31","75225",18
"2021-10-31","75226",43
"2021-10-31","75227",34
"2021-10-31","75228",27
"2021-10-31","75229",21
"2021-10-31","75230",26
"2021-10-31","75231",16
"2021-10-31","75232",21
"2021-10-31","75233",19
"2021-10-31","75234",13
"2021-10-31","75235",28
"2021-10-31","75236",17
"2021-10-31","75237",19
"2021-10-31","75238",23
"2021-10-31","75240",20
"2021-10-31","75241",27
"2021-10-31","75243",23
"2021-10-31","75244",12
"2021-10-31","75246",56
"2021-10-31","75247",11
"2021-10-31","75248",14
"2021-10-31","75249",19
"2021-10-31","75251",32
"2021-10-31","75252",16
"2021-10-31","75253",25
"2021-10-31","75254",16
"2021-10-31","75287",11
"2021-10-31","75401",8
"2021-10-31","75402",7
"2021-10-31","75407",17
"2021-10-31","75409",19
"2021-10-31","75410",17
"2021-10-31","75411",8
"2021-10-31","75414",29
"2021-10-31","75415",0
"2021-10-31","75416",5
"2021-10-31","75417",13
"2021-10-31","75418",22
"2021-10-31","75420",9
"2021-10-31","75421",8
"2021-10-31","75422",8
"2021-10-31","75423",14
"2021-10-31","75424",19
"2021-10-31","75426",12
"2021-10-31","75428",9
"2021-10-31","75431",11
"2021-10-31","75432",9
"2021-10-31","75433",12
"2021-10-31","75435",0
"2021-10-31","75436",8
"2021-10-31","75437",9
"2021-10-31","75438",0
"2021-10-31","75439",0
"2021-10-31","75440",11
"2021-10-31","75442",13
"2021-10-31","75446",15
"2021-10-31","75447",0
"2021-10-31","75448",0
"2021-10-31","75449",6
"2021-10-31","75450",0
"2021-10-31","75451",18
"2021-10-31","75452",16
"2021-10-31","75453",8
"2021-10-31","75454",25
"2021-10-31","75455",9
"2021-10-31","75457",16
"2021-10-31","75459",36
"2021-10-31","75460",8
"2021-10-31","75462",12
"2021-10-31","75468",0
"2021-10-31","75469",0
"2021-10-31","75470",0
"2021-10-31","75471",54
"2021-10-31","75472",7
"2021-10-31","75473",8
"2021-10-31","75474",10
"2021-10-31","75476",0
"2021-10-31","75477",0
"2021-10-31","75478",0
"2021-10-31","75479",35
"2021-10-31","75480",11
"2021-10-31","75481",0
"2021-10-31","75482",15
"2021-10-31","75486",17
"2021-10-31","75487",0
"2021-10-31","75488",26
"2021-10-31","75489",0
"2021-10-31","75490",13
"2021-10-31","75491",21
"2021-10-31","75492",0
"2021-10-31","75493",0
"2021-10-31","75494",16
"2021-10-31","75495",19
"2021-10-31","75496",5
"2021-10-31","75497",13
"2021-10-31","75501",9
"2021-10-31","75503",8
"2021-10-31","75550",0
"2021-10-31","75551",4
"2021-10-31","75554",6
"2021-10-31","75555",0
"2021-10-31","75556",5
"2021-10-31","75558",0
"2021-10-31","75559",7
"2021-10-31","75560",0
"2021-10-31","75561",8
"2021-10-31","75563",7
"2021-10-31","75567",5
"2021-10-31","75568",12
"2021-10-31","75569",10
"2021-10-31","75570",8
"2021-10-31","75571",14
"2021-10-31","75572",8
"2021-10-31","75574",7
"2021-10-31","75601",4
"2021-10-31","75602",8
"2021-10-31","75603",10
"2021-10-31","75604",7
"2021-10-31","75605",10
"2021-10-31","75630",3
"2021-10-31","75631",4
"2021-10-31","75633",10
"2021-10-31","75638",7
"2021-10-31","75639",0
"2021-10-31","75640",6
"2021-10-31","75643",7
"2021-10-31","75644",15
"2021-10-31","75645",10
"2021-10-31","75647",8
"2021-10-31","75650",6
"2021-10-31","75651",0
"2021-10-31","75652",5
"2021-10-31","75654",11
