"COLLECTION_WEEK","THCIC_ID","inpatient_beds_7_day_avg_interp"
"2021-06-27","000102",587
"2021-06-27","000105",741
"2021-06-27","000112",39
"2021-06-27","001000",316
"2021-06-27","006000",34
"2021-06-27","007000",299
"2021-06-27","008001",0
"2021-06-27","014000",21
"2021-06-27","019000",138
"2021-06-27","023000",33
"2021-06-27","026000",24
"2021-06-27","029000",49
"2021-06-27","030000",23
"2021-06-27","034000",61
"2021-06-27","035000",444
"2021-06-27","038001",34
"2021-06-27","041000",0
"2021-06-27","044000",69
"2021-06-27","046000",0
"2021-06-27","047000",176
"2021-06-27","049000",0
"2021-06-27","058000",0
"2021-06-27","059000",12
"2021-06-27","061000",60
"2021-06-27","063000",43
"2021-06-27","064000",360
"2021-06-27","066000",0
"2021-06-27","070000",31
"2021-06-27","072000",0
"2021-06-27","074000",53
"2021-06-27","075000",0
"2021-06-27","076000",150
"2021-06-27","078000",39
"2021-06-27","084000",28
"2021-06-27","085000",129
"2021-06-27","089001",0
"2021-06-27","091001",0
"2021-06-27","094000",0
"2021-06-27","095003",150
"2021-06-27","098000",24
"2021-06-27","100093",0
"2021-06-27","103000",24
"2021-06-27","106001",0
"2021-06-27","106100",0
"2021-06-27","113000",8
"2021-06-27","114001",1397
"2021-06-27","117000",812
"2021-06-27","118000",482
"2021-06-27","124000",914
"2021-06-27","124100",36
"2021-06-27","129000",134
"2021-06-27","130000",174
"2021-06-27","137000",74
"2021-06-27","140002",765
"2021-06-27","141000",25
"2021-06-27","142000",276
"2021-06-27","143000",364
"2021-06-27","143001",79
"2021-06-27","144000",156
"2021-06-27","145000",495
"2021-06-27","146000",102
"2021-06-27","151000",0
"2021-06-27","154000",2116
"2021-06-27","155000",164
"2021-06-27","156000",27
"2021-06-27","158000",734
"2021-06-27","168000",577
"2021-06-27","180000",0
"2021-06-27","181000",232
"2021-06-27","182000",170
"2021-06-27","187000",40
"2021-06-27","193000",0
"2021-06-27","199000",0
"2021-06-27","206100",157
"2021-06-27","207001",231
"2021-06-27","208100",13
"2021-06-27","212000",393
"2021-06-27","214000",521
"2021-06-27","216001",49
"2021-06-27","217000",0
"2021-06-27","219000",90
"2021-06-27","222000",0
"2021-06-27","228001",317
"2021-06-27","229000",210
"2021-06-27","230000",103
"2021-06-27","235000",645
"2021-06-27","246000",261
"2021-06-27","255000",279
"2021-06-27","256000",47
"2021-06-27","262000",14
"2021-06-27","263000",418
"2021-06-27","266000",150
"2021-06-27","285000",104
"2021-06-27","286000",547
"2021-06-27","294000",30
"2021-06-27","297000",85
"2021-06-27","298000",38
"2021-06-27","301000",133
"2021-06-27","302000",335
"2021-06-27","303000",19
"2021-06-27","307000",20
"2021-06-27","314001",172
"2021-06-27","315003",186
"2021-06-27","318000",213
"2021-06-27","319000",0
"2021-06-27","323000",45
"2021-06-27","331000",685
"2021-06-27","332000",363
"2021-06-27","336001",137
"2021-06-27","337001",164
"2021-06-27","339001",448
"2021-06-27","340000",827
"2021-06-27","341000",8
"2021-06-27","346000",0
"2021-06-27","347000",960
"2021-06-27","348000",0
"2021-06-27","349001",204
"2021-06-27","356000",42
"2021-06-27","357000",25
"2021-06-27","363000",289
"2021-06-27","370000",207
"2021-06-27","383000",25
"2021-06-27","388000",0
"2021-06-27","389000",279
"2021-06-27","390000",51
"2021-06-27","392000",73
"2021-06-27","393000",32
"2021-06-27","394000",136
"2021-06-27","395000",0
"2021-06-27","397000",24
"2021-06-27","397001",108
"2021-06-27","405000",252
"2021-06-27","406000",123
"2021-06-27","407000",1226
"2021-06-27","417000",235
"2021-06-27","420000",23
"2021-06-27","422000",296
"2021-06-27","424000",68
"2021-06-27","424500",0
"2021-06-27","425000",149
"2021-06-27","426000",50
"2021-06-27","427000",46
"2021-06-27","429001",66
"2021-06-27","430000",17
"2021-06-27","431000",485
"2021-06-27","433000",58
"2021-06-27","436000",62
"2021-06-27","437000",111
"2021-06-27","439000",17
"2021-06-27","441000",43
"2021-06-27","444001",222
"2021-06-27","446001",43
"2021-06-27","449000",18
"2021-06-27","452000",296
"2021-06-27","453000",227
"2021-06-27","459000",559
"2021-06-27","462000",54
"2021-06-27","465000",352
"2021-06-27","466000",31
"2021-06-27","468000",99
"2021-06-27","469000",36
"2021-06-27","471000",32
"2021-06-27","474000",739
"2021-06-27","477000",199
"2021-06-27","478000",88
"2021-06-27","480000",207
"2021-06-27","481000",70
"2021-06-27","485000",42
"2021-06-27","487000",27
"2021-06-27","488000",129
"2021-06-27","495001",0
"2021-06-27","497000",400
"2021-06-27","502000",334
"2021-06-27","505000",23
"2021-06-27","506001",218
"2021-06-27","508001",220
"2021-06-27","513000",189
"2021-06-27","522000",0
"2021-06-27","525000",233
"2021-06-27","527000",42
"2021-06-27","534001",203
"2021-06-27","537000",578
"2021-06-27","546000",0
"2021-06-27","547001",107
"2021-06-27","559000",0
"2021-06-27","560000",0
"2021-06-27","569000",19
"2021-06-27","572000",0
"2021-06-27","597000",0
"2021-06-27","601000",202
"2021-06-27","602000",306
"2021-06-27","608000",152
"2021-06-27","609001",187
"2021-06-27","627000",216
"2021-06-27","629001",110
"2021-06-27","631000",0
"2021-06-27","634000",223
"2021-06-27","640000",30
"2021-06-27","645000",60
"2021-06-27","653001",0
"2021-06-27","654000",29
"2021-06-27","657000",0
"2021-06-27","664000",240
"2021-06-27","672000",39
"2021-06-27","675000",476
"2021-06-27","676000",0
"2021-06-27","681400",43
"2021-06-27","686000",137
"2021-06-27","689401",34
"2021-06-27","690000",96
"2021-06-27","698004",0
"2021-06-27","706000",0
"2021-06-27","711900",36
"2021-06-27","714500",9
"2021-06-27","720402",61
"2021-06-27","724200",58
"2021-06-27","724700",346
"2021-06-27","725400",42
"2021-06-27","727100",42
"2021-06-27","728800",0
"2021-06-27","730001",53
"2021-06-27","740000",100
"2021-06-27","750000",0
"2021-06-27","784400",56
"2021-06-27","786200",0
"2021-06-27","787400",75
"2021-06-27","788001",347
"2021-06-27","788002",118
"2021-06-27","790200",0
"2021-06-27","792000",0
"2021-06-27","792700",0
"2021-06-27","793100",204
"2021-06-27","794600",0
"2021-06-27","797100",546
"2021-06-27","797500",0
"2021-06-27","797600",72
"2021-06-27","799001",14
"2021-06-27","800010",207
"2021-06-27","801500",0
"2021-06-27","804500",0
"2021-06-27","805100",0
"2021-06-27","806002",0
"2021-06-27","806500",73
"2021-06-27","813800",0
"2021-06-27","814000",71
"2021-06-27","814001",123
"2021-06-27","816300",54
"2021-06-27","820800",152
"2021-06-27","822001",0
"2021-06-27","822800",0
"2021-06-27","823000",277
"2021-06-27","823400",40
"2021-06-27","829900",364
"2021-06-27","832900",37
"2021-06-27","835700",0
"2021-06-27","838400",0
"2021-06-27","838600",264
"2021-06-27","839100",0
"2021-06-27","842800",217
"2021-06-27","844000",127
"2021-06-27","846100",40
"2021-06-27","846200",19
"2021-06-27","847000",311
"2021-06-27","847100",226
"2021-06-27","848100",21
"2021-06-27","850300",0
"2021-06-27","852000",181
"2021-06-27","852100",0
"2021-06-27","852600",142
"2021-06-27","854100",0
"2021-06-27","854400",0
"2021-06-27","858300",171
"2021-06-27","859900",60
"2021-06-27","860600",0
"2021-06-27","861700",139
"2021-06-27","861900",0
"2021-06-27","862000",0
"2021-06-27","864600",33
"2021-06-27","865000",206
"2021-06-27","869700",69
"2021-06-27","873800",0
"2021-06-27","874100",269
"2021-06-27","914000",42
"2021-06-27","919000",65
"2021-06-27","921000",157
"2021-06-27","923000",0
"2021-06-27","943000",76
"2021-06-27","957000",0
"2021-06-27","969500",0
"2021-06-27","969700",39
"2021-06-27","971000",89
"2021-06-27","971900",114
"2021-06-27","972900",102
"2021-06-27","972960",0
"2021-06-27","973180",84
"2021-06-27","973310",0
"2021-06-27","973320",23
"2021-06-27","973340",37
"2021-06-27","973420",0
"2021-06-27","973430",0
"2021-06-27","973450",0
"2021-06-27","973590",30
"2021-06-27","973620",73
"2021-06-27","973640",110
"2021-06-27","973850",106
"2021-06-27","973900",0
"2021-06-27","974260",0
"2021-06-27","974290",0
"2021-06-27","974350",124
"2021-06-27","974360",78
"2021-06-27","974390",57
"2021-06-27","974490",73
"2021-06-27","974500",0
"2021-06-27","974530",56
"2021-06-27","974720",14
"2021-06-27","974730",0
"2021-06-27","974940",64
"2021-06-27","974980",0
"2021-06-27","975020",0
"2021-06-27","975149",0
"2021-06-27","975153",0
"2021-06-27","975155",7
"2021-06-27","975159",91
"2021-06-27","975188",79
"2021-06-27","975198",23
"2021-06-27","975208",205
"2021-06-27","975221",67
"2021-06-27","975241",63
"2021-06-27","975255",18
"2021-06-27","975258",13
"2021-06-27","975259",0
"2021-06-27","975268",90
"2021-06-27","975271",0
"2021-06-27","975285",57
"2021-06-27","975286",112
"2021-06-27","975288",0
"2021-06-27","975293",88
"2021-06-27","975294",26
"2021-06-27","975295",44
"2021-06-27","975296",74
"2021-06-27","975297",17
"2021-06-27","975298",28
"2021-06-27","975299",437
"2021-06-27","975301",35
"2021-06-27","975325",0
"2021-06-27","975340",17
"2021-06-27","975372",106
"2021-06-27","975374",0
"2021-06-27","975386",0
"2021-06-27","975390",0
"2021-06-27","975391",15
"2021-06-27","975400",0
"2021-06-27","975403",137
"2021-06-27","975779",70
"2021-06-27","975782",0
"2021-06-27","975783",53
"2021-06-27","975789",11
"2021-06-27","975791",147
"2021-06-27","975805",0
"2021-06-27","975813",53
"2021-06-27","975814",80
"2021-06-27","975836",0
"2021-06-27","975870",0
"2021-06-27","975878",35
"2021-06-27","975879",23
